date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:53	66/66	---M--	200	added ('OK')	text/plain	date:Fri,%2016%20Dec%202016%2019:16:31%20GMT	https://infinityhospitalitygroup.com/robots.txt		(from )
11:31:55	97170/97170	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202024%2005:35:21%20GMT	https://infinityhospitalitygroup.com/	D:/My%20Web%20Sites/Events/infinityhospitalitygroup.com/index.html	(from )
11:31:57	6275/6275	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2003%20May%202024%2018:15:44%20GMT	https://infinityhospitalitygroup.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	D:/My%20Web%20Sites/Events/infinityhospitalitygroup.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	(from https://infinityhospitalitygroup.com/)
11:31:59	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2006%20Jun%202024%2006:01:59%20GMT	https://infinityhospitalitygroup.com/xmlrpc.php	D:/My%20Web%20Sites/Events/infinityhospitalitygroup.com/xmlrpc.1.delayed	(from https://infinityhospitalitygroup.com/)
11:32:00	3744/3744	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202024%2014:50:45%20GMT	https://infinityhospitalitygroup.com/wp-content/plugins/announcer/public/css/style.css?ver=6.0.1	D:/My%20Web%20Sites/Events/infinityhospitalitygroup.com/wp-content/plugins/announcer/public/css/style37ad.css	(from https://infinityhospitalitygroup.com/)
11:32:01	8895/8895	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2006%20Jun%202024%2006:02:02%20GMT	https://infinityhospitalitygroup.com/comments/feed/	D:/My%20Web%20Sites/Events/infinityhospitalitygroup.com/comments/feed/index.html	(from https://infinityhospitalitygroup.com/)
11:32:02	290736/290736	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2006%20Jun%202024%2006:02:02%20GMT	https://infinityhospitalitygroup.com/feed/	D:/My%20Web%20Sites/Events/infinityhospitalitygroup.com/feed/index.html	(from https://infinityhospitalitygroup.com/)
11:32:02	1970/1970	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Dec%202018%2022:53:33%20GMT	https://infinityhospitalitygroup.com/wp-content/themes/theflavour-parent/style.css?ver=0ef513fc9c3706508cb69a70442ebd63	D:/My%20Web%20Sites/Events/infinityhospitalitygroup.com/wp-content/themes/theflavour-parent/style594d.css	(from https://infinityhospitalitygroup.com/)
11:32:04	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202024%2013:40:06%20GMT	https://infinityhospitalitygroup.com/wp-content/plugins/unyson/framework/static/libs/font-awesome/css/font-awesome.min.css?ver=2.7.31	D:/My%20Web%20Sites/Events/infinityhospitalitygroup.com/wp-content/plugins/unyson/framework/static/libs/font-awesome/css/font-awesome.min973b.css	(from https://infinityhospitalitygroup.com/)
11:32:06	122997/122997	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Dec%202018%2022:53:33%20GMT	https://infinityhospitalitygroup.com/wp-content/themes/theflavour-parent/css/bootstrap.css?ver=2.0.15	D:/My%20Web%20Sites/Events/infinityhospitalitygroup.com/wp-content/themes/theflavour-parent/css/bootstrap83c1.css	(from https://infinityhospitalitygroup.com/)
